1,clicks-and-mortar
2,value-added
3,vertical
4,proactive
5,robust
6,revolutionary
7,scalable
8,leading-edge
9,innovative
10,intuitive
11,strategic
12,e-business
13,mission-critical
14,sticky
15,one-to-one
16,24-Jul
17,end-to-end
18,global
19,B2B
20,B2C
21,granular
22,frictionless
23,virtual
24,viral
25,dynamic
26,24/365
27,best-of-breed
28,killer
29,magnetic
30,bleeding-edge
31,web-enabled
32,interactive
33,dot-com
34,sexy
35,back-end
36,real-time
37,efficient
38,front-end
39,distributed
40,seamless
41,extensible
42,turn-key
43,world-class
44,open-source
45,cross-platform
46,cross-media
47,synergistic
48,bricks-and-clicks
49,out-of-the-box
50,enterprise
51,integrated
52,impactful
53,wireless
54,transparent
55,next-generation
56,cutting-edge
57,user-centric
58,visionary
59,customized
60,ubiquitous
61,plug-and-play
62,collaborative
63,compelling
64,holistic
65,polymorphic
66,crisp
67,B2B2E
68,borderless
