1,synergies
2,web-readiness
3,paradigms
4,markets
5,partnerships
6,infrastructures
7,platforms
8,initiatives
9,channels
10,eyeballs
11,communities
12,ROI
13,solutions
14,e-tailers
15,e-services
16,action-items
17,portals
18,niches
19,technologies
20,content
21,vortals
22,supply-chains
23,convergence
24,relationships
25,architectures
26,interfaces
27,e-markets
28,e-commerce
29,systems
30,bandwidth
31,infomediaries
32,models
33,mindshare
34,deliverables
35,users
36,schemas
37,networks
38,applications
39,metrics
40,e-business
41,functionalities
42,experiences
43,web services
44,methodologies
45,web 2.0
46,BYOD
